Balanced Accuracy,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Model Year
0.6799463704271212,0.88,0.7823453361425015,0.40386576289643344,0.37037037037037035,0.43478260869565216,0.39999999999999997,0
0.6735087881876873,0.863,0.767048672247449,0.38797603029508365,0.38524590163934425,0.43119266055045874,0.40692640692640697,0
0.6713874684171713,0.879,0.801980198019802,0.4175435542677192,0.3584905660377358,0.4175824175824176,0.38578680203045684,0
0.6272462659874937,0.875,0.7480667003786431,0.2823673230273628,0.30851063829787234,0.3258426966292135,0.3169398907103826,0
0.6750060177287521,0.875,0.777888248160668,0.4301940531237281,0.4166666666666667,0.4205607476635514,0.41860465116279066,0
0.6179158598404026,0.858,0.7339878390212016,0.29944637691980935,0.26126126126126126,0.3258426966292135,0.29,0
0.6432928608954527,0.869,0.7622292919269162,0.30637404544333136,0.24778761061946902,0.3783783783783784,0.2994652406417112,0
0.6442301510768241,0.886,0.7189263902282225,0.3507485221847069,0.33707865168539325,0.35294117647058826,0.3448275862068966,0
0.6187508655310898,0.864,0.7304327025972228,0.29076995306802117,0.26666666666666666,0.3218390804597701,0.29166666666666663,0
0.6045955500103972,0.86,0.7179442191723852,0.2649984892648027,0.2358490566037736,0.2976190476190476,0.2631578947368421,0
0.6583578500517202,0.879,0.7643573933018982,0.3692010394355779,0.3076923076923077,0.3950617283950617,0.34594594594594597,0
0.6669006030359742,0.885,0.7519884591391142,0.3416478476357563,0.3434343434343434,0.40476190476190477,0.3715846994535519,0
0.6348369124681759,0.864,0.7095477845897409,0.3329757551228272,0.3177570093457944,0.35051546391752575,0.3333333333333333,0
0.6864175761813557,0.87,0.7827247945358182,0.470230689121446,0.42016806722689076,0.45045045045045046,0.43478260869565216,0
0.6647988974721648,0.885,0.7518828805957519,0.4048222416222175,0.375,0.3956043956043956,0.3850267379679145,0
0.616773956443907,0.865,0.7556697608801318,0.3078776651078352,0.29,0.3118279569892473,0.3005181347150259,0
0.6440823327615781,0.869,0.7675646587966233,0.3665595692912689,0.34615384615384615,0.36363636363636365,0.35467980295566504,0
0.6658164620861895,0.886,0.7727828258674743,0.3910317747243925,0.336734693877551,0.4024390243902439,0.3666666666666667,0
0.606296128314023,0.861,0.7581948624912382,0.2970281963293955,0.2222222222222222,0.3037974683544304,0.25668449197860965,0
0.6334263837038532,0.866,0.765518671733988,0.3564436380748406,0.3300970873786408,0.3434343434343434,0.3366336633663366,0
0.6886853101896496,0.899,0.7716104146576663,0.4275780630125498,0.4111111111111111,0.43529411764705883,0.4228571428571428,0
0.6383304220753274,0.862,0.7495804363462001,0.415101616337909,0.3153153153153153,0.36082474226804123,0.33653846153846156,0
0.6492866489384154,0.871,0.7673483601367608,0.4152022436080722,0.38613861386138615,0.36792452830188677,0.37681159420289856,0
0.6317615668337089,0.863,0.7107703001154722,0.3297151175166587,0.32075471698113206,0.3434343434343434,0.33170731707317075,0
0.6939551923347893,0.886,0.8054107369310977,0.45119765047833593,0.4056603773584906,0.4574468085106383,0.43000000000000005,0
0.6527214198497762,0.866,0.7684727241332527,0.324271847443002,0.30434782608695654,0.39325842696629215,0.3431372549019608,0
0.6859192916391024,0.888,0.7852971858938477,0.351026879684376,0.37254901960784315,0.4418604651162791,0.4042553191489362,0
0.6543345543345543,0.872,0.7581746031746033,0.30857321974395585,0.32407407407407407,0.3888888888888889,0.3535353535353535,0
0.623030984417123,0.863,0.7336524861277336,0.3087337281226639,0.2830188679245283,0.32967032967032966,0.3045685279187817,0
0.6452744853399875,0.885,0.7317659596589727,0.38203934489605523,0.32967032967032966,0.35714285714285715,0.34285714285714286,0
0.6560355583281348,0.875,0.7666159804533167,0.368239448812199,0.308411214953271,0.39285714285714285,0.34554973821989526,0
0.6933461909353905,0.888,0.76226293796207,0.3606844198729548,0.37142857142857144,0.4588235294117647,0.41052631578947374,0
0.6920616458272754,0.886,0.7600930503053214,0.41369392070415345,0.4095238095238095,0.45263157894736844,0.43000000000000005,0
0.6081969437215555,0.868,0.7400498279455839,0.28034433251738405,0.2736842105263158,0.29213483146067415,0.2826086956521739,0
0.6954034072645452,0.882,0.8197171327547412,0.42729442466241796,0.35398230088495575,0.47058823529411764,0.40404040404040403,0
0.6184430318725547,0.839,0.7512920548436641,0.3117843915740228,0.26153846153846155,0.3434343434343434,0.29694323144104806,0
0.7147855070988753,0.883,0.8324003867487659,0.4965925024378428,0.3697478991596639,0.5116279069767442,0.4292682926829269,0
0.6372549019607843,0.883,0.7527675988428157,0.3381544872010808,0.32222222222222224,0.3411764705882353,0.3314285714285714,0
0.6489773292909181,0.859,0.7253156251414092,0.3637204841275115,0.31932773109243695,0.3877551020408163,0.35023041474654376,0
0.6781279972671492,0.892,0.7908252420806454,0.37905224682311583,0.3684210526315789,0.42168674698795183,0.39325842696629215,0
0.5943223443223443,0.863,0.7210989010989011,0.2554244884437766,0.25263157894736843,0.26666666666666666,0.2594594594594594,0
0.6211367030182361,0.858,0.7533146296212497,0.30165141833682546,0.2962962962962963,0.32653061224489793,0.31067961165048547,0
0.6741989478718317,0.881,0.7865388702906637,0.36009069261210935,0.32710280373831774,0.4268292682926829,0.37037037037037035,0
0.6830286438300376,0.863,0.7993687497171819,0.4337149132664854,0.3488372093023256,0.45918367346938777,0.3964757709251101,0
0.6361111111111111,0.857,0.7509944444444445,0.32545902455365855,0.3130434782608696,0.36,0.33488372093023255,0
0.611431988193985,0.877,0.7573533153529082,0.2906220559673793,0.28735632183908044,0.29069767441860467,0.2890173410404624,0
0.6679112625005459,0.864,0.7296770601336304,0.3354241313609582,0.35833333333333334,0.4215686274509804,0.38738738738738737,0
0.6728260869565217,0.881,0.7697486413043478,0.3518138554376107,0.3177570093457944,0.425,0.3636363636363636,0
